Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
26-MAR-2024,21947.9,22073.2,21947.55,22004.7,328403719,33382.08
27-MAR-2024,22053.95,22193.6,22052.85,22123.65,409136866,38830.73
28-MAR-2024,22163.6,22516,22163.6,22326.9,407422815,45656.57
01-APR-2024,22455,22529.95,22427.75,22462,243637071,21420.69
02-APR-2024,22458.8,22497.6,22388.15,22453.3,289524237,27940.93
03-APR-2024,22385.7,22521.1,22346.5,22434.65,309647491,30793.28
04-APR-2024,22592.1,22619,22303.8,22514.65,400986156,40705.56
05-APR-2024,22486.4,22537.6,22427.6,22513.7,242244731,24797.82
08-APR-2024,22578.35,22697.3,22550.35,22666.3,227633561,22480.2
09-APR-2024,22765.1,22768.4,22612.25,22642.75,232356772,21651.69
10-APR-2024,22720.25,22775.7,22673.7,22753.8,276847931,25355.05
12-APR-2024,22677.4,22726.45,22503.75,22519.4,357187778,36456.91
15-APR-2024,22339.05,22427.45,22259.55,22272.5,355465814,29474.59
16-APR-2024,22125.3,22213.75,22079.45,22147.9,317267066,28661.04
18-APR-2024,22212.35,22326.5,21961.7,21995.85,456906707,43314.67
19-APR-2024,21861.5,22179.55,21777.65,22147,362530569,36073.63
22-APR-2024,22336.9,22375.65,22198.15,22336.4,279259571,26841.2
23-APR-2024,22447.05,22447.55,22349.45,22368,231520813,25651.64
24-APR-2024,22421.55,22476.45,22384,22402.4,235898642,21925.6
25-APR-2024,22316.9,22625.95,22305.25,22570.35,475044740,53803.8
26-APR-2024,22620.4,22620.4,22385.55,22419.95,329887340,36984.89
29-APR-2024,22475.55,22655.8,22441.9,22643.4,291957361,32431.45
30-APR-2024,22679.65,22783.35,22568.4,22604.85,361859375,38741.7
02-MAY-2024,22567.85,22710.5,22567.85,22648.2,445909456,43133.31
03-MAY-2024,22766.35,22794.7,22348.05,22475.85,438060727,44432.55
06-MAY-2024,22561.6,22588.8,22409.45,22442.7,320255789,33417.53
07-MAY-2024,22489.75,22499.05,22232.05,22302.5,297815469,31512.26
08-MAY-2024,22231.2,22368.65,22185.2,22302.5,277438692,29717.33
09-MAY-2024,22224.8,22307.75,21932.4,21957.5,331327454,37870.88
10-MAY-2024,21990.95,22131.3,21950.3,22055.2,265804411,28717.71
13-MAY-2024,22027.95,22131.65,21821.05,22104.05,278186886,29036.08
14-MAY-2024,22112.9,22270.05,22081.25,22217.85,230238941,23741.66
15-MAY-2024,22255.6,22297.55,22151.75,22200.55,231935478,23815.79
16-MAY-2024,22319.2,22432.25,22054.55,22403.85,368945092,38836.11
17-MAY-2024,22415.25,22502.15,22345.65,22466.1,242654570,27388.67
18-MAY-2024,22512.85,22520.25,22470.05,22502,19064566,1572.77
21-MAY-2024,22404.55,22591.1,22404.55,22529.05,347591587,30782.35
22-MAY-2024,22576.6,22629.5,22483.15,22597.8,290345590,28556.14
23-MAY-2024,22614.1,22993.6,22577.45,22967.65,369767547,39157.65
24-MAY-2024,22930.75,23026.4,22908,22957.1,261927120,27966.99
27-MAY-2024,23038.95,23110.8,22871.2,22932.45,260006078,27204.54
28-MAY-2024,22977.15,22998.55,22858.5,22888.15,217890750,23054.65
29-MAY-2024,22762.75,22825.5,22685.45,22704.7,269932784,27549.09
30-MAY-2024,22617.45,22705.75,22417,22488.65,373374457,32991.46
31-MAY-2024,22568.1,22653.75,22465.1,22530.7,572122639,67040.32
03-JUN-2024,23337.9,23338.7,23062.3,23263.9,569425569,56418.25
04-JUN-2024,23179.5,23179.5,21281.45,21884.5,1006105058,93786.44
05-JUN-2024,22128.35,22670.4,21791.95,22620.35,638487077,64326.85
06-JUN-2024,22798.6,22910.15,22642.6,22821.4,480413289,49047.39
07-JUN-2024,22821.85,23320.2,22789.05,23290.15,473554898,47621.54
10-JUN-2024,23319.15,23411.9,23227.15,23259.2,304392368,29060.4
11-JUN-2024,23283.75,23389.45,23206.65,23264.85,305185666,29190.91
12-JUN-2024,23344.45,23441.95,23295.95,23322.95,295630910,31795.48
13-JUN-2024,23480.95,23481.05,23353.9,23398.9,268279841,30151.67
14-JUN-2024,23464.95,23490.4,23334.25,23465.6,223086741,25746.34
18-JUN-2024,23570.8,23579.05,23499.7,23557.9,272207297,29389.75
19-JUN-2024,23629.85,23664,23412.9,23516,328811255,39430.39
20-JUN-2024,23586.15,23624,23442.6,23567,280336970,33390.07
21-JUN-2024,23661.15,23667.1,23398.2,23501.1,609877803,70062.97